week_start,region,channel,spend,clicks,impressions
2026-05-29,Northeast,Social,2007.36,2048,106496
2026-05-29,Northeast,Search,1780.25,2407,223851
2026-05-29,Northeast,Email,1841.41,2534,167244
2026-05-29,South,Social,1201.02,635,40640
2026-05-29,South,Search,2177.0,2480,148800
2026-05-29,South,Email,1319.45,839,69637
2026-06-05,Northeast,Social,1525.88,1663,131377
2026-06-05,Northeast,Search,1832.22,1082,89806
2026-06-05,Northeast,Email,1522.38,1543,112639
2026-06-05,South,Social,2365.71,1887,171717
2026-06-05,South,Search,2293.55,3324,176172
2026-06-05,South,Email,1689.02,2266,149556
2026-06-12,Northeast,Social,1387.37,1330,110390
2026-06-12,Northeast,Search,1931.21,1636,150512
2026-06-12,Northeast,Email,1869.47,1573,151008
2026-06-12,South,Social,1193.32,749,59920
2026-06-12,South,Search,1600.45,1916,101548
2026-06-12,South,Email,1272.82,1076,55952
2026-06-19,Northeast,Social,2311.48,2346,190026
2026-06-19,Northeast,Search,1258.48,871,59228
2026-06-19,Northeast,Email,2232.69,1886,171626
2026-06-19,South,Social,1265.52,745,37250
2026-06-19,South,Search,1801.64,1542,146490
2026-06-19,South,Email,1546.4,1551,145794
2026-06-26,Northeast,Social,1482.37,877,84192
2026-06-26,Northeast,Search,1941.85,1129,89191
2026-06-26,Northeast,Email,1235.47,1083,71478
2026-06-26,South,Social,1415.32,1848,181104
2026-06-26,South,Search,1895.92,2817,270432
2026-06-26,South,Email,1555.71,1531,114825
2026-07-03,Northeast,Social,2139.93,2206,112506
2026-07-03,Northeast,Search,2121.21,1138,63728
2026-07-03,Northeast,Email,2030.75,2730,251160
2026-07-03,South,Social,1798.17,1091,94917
2026-07-03,South,Search,1798.93,1335,98790
2026-07-03,South,Email,2106.11,1436,126368
2026-07-10,Northeast,Social,1483.12,1055,79125
2026-07-10,Northeast,Search,1803.0,1321,81902
2026-07-10,Northeast,Email,1890.39,2228,115856
2026-07-10,South,Social,1973.23,1932,164220
2026-07-10,South,Search,1805.66,1962,111834
2026-07-10,South,Email,1879.8,2000,182000
2026-07-17,Northeast,Social,1425.66,1230,92250
2026-07-17,Northeast,Search,1911.33,1422,133668
2026-07-17,Northeast,Email,1495.52,2144,152224
2026-07-17,South,Social,1338.0,1157,112229
2026-07-17,South,Search,1241.02,852,67308
2026-07-17,South,Email,1260.06,1760,91520
2026-07-24,Northeast,Social,1786.77,1626,138210
2026-07-24,Northeast,Search,2495.88,3485,240465
2026-07-24,Northeast,Email,2454.21,3351,184305
2026-07-24,South,Social,2462.6,2439,212193
2026-07-24,South,Search,2002.96,2862,183168
2026-07-24,South,Email,1802.56,1760,165440
2026-07-31,Northeast,Social,2154.24,1480,78440
2026-07-31,Northeast,Search,1638.15,1650,161700
2026-07-31,Northeast,Email,1794.76,2166,136458
2026-07-31,South,Social,1432.95,1549,92940
2026-07-31,South,Search,2398.02,1967,102284
2026-07-31,South,Email,1077.74,901,53159
2026-08-07,Northeast,Social,1822.9,1912,97512
2026-08-07,Northeast,Search,1483.53,1943,97150
2026-08-07,Northeast,Email,1208.24,607,35206
2026-08-07,South,Social,1893.46,1839,154476
2026-08-07,South,Search,1523.3,2177,202461
2026-08-07,South,Email,1612.78,2311,138660
2026-08-14,Northeast,Social,2407.51,1640,137760
2026-08-14,Northeast,Search,2389.67,2919,227682
2026-08-14,Northeast,Email,1209.66,1566,98658
2026-08-14,South,Social,2199.31,2914,250604
2026-08-14,South,Search,2221.86,2588,194100
2026-08-14,South,Email,2361.8,1927,175357
2026-08-21,Northeast,Social,1588.67,2091,184008
2026-08-21,Northeast,Search,2070.67,2898,252126
2026-08-21,Northeast,Email,1809.67,1698,139236
2026-08-21,South,Social,1348.32,1887,96237
2026-08-21,South,Search,1815.33,2553,224664
2026-08-21,South,Email,1175.35,1692,94752
